,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
77,nodej express mongodb complet bootcamp,master node build realworld rest api web app authent nodej secur payment jona schmedtmann,227,All Levels,42,4.7,2167
78,angular nodej mean stack guid edit,learn connect angular frontend nodej express mongodb backend build real applic maximilian schwarzmüller,149,All Levels,125,4.6,14569
79,advanc javascript concept,learn modern advanc javascript practic top javascript develop andrei neagoi,216,All Levels,25,4.7,3933
80,typescript complet develop guid,master typescript learn popular design pattern build complex project includ react express stephen grider,278,All Levels,245,4.7,2454
81,rest api flask python,build profession rest api python flask flaskrest flasksqlalchemi jose salvatierra,170,Intermediate,175,4.6,8082
82,complet junior senior web develop roadmap,go junior develop senior develop learn technic skill senior web develop know andrei neagoi,394,Intermediate,355,4.7,4195
83,learn code googl go golang program languag,ultim comprehens cours perfect beginn experienc develop todd mcleod,373,All Levels,465,4.4,12105
84,complet c masterclass,learn c program wpf databas linq collect game develop uniti c basic deni panjuta,224,All Levels,315,4.5,5822
85,javascript understand weird part,advanc javascript cours everyon scope closur prototyp build framework anthoni alicea,85,All Levels,115,4.7,35648
86,web project vanilla javascript,build mini frontend project scratch html css javascript framework librari brad traversi,121,Beginner,16,4.8,471
87,complet wordpress websit busi cours,master wordpress complet wordpress cours without learn code without program rob perciv,105,All Levels,215,4.4,10655
88,complet data scienc machin learn bootcamp,learn python tensorflow deep learn regress classif neural network artifici intellig philipp muellauer,207,All Levels,415,4.5,1111
89,learn devop complet kubernet cours,kubernet run manag container applic learn build deploy use maintain kubernet edward viaen,142,All Levels,135,4.4,9383
90,php beginn becom php master cm project,php beginn learn everyth need becom profession php develop practic exercis project edwin diaz,344,All Levels,38,4.4,14849
91,code interview bootcamp algorithm data structur,ace next javascript code interview master data structur algorithm stephen grider,135,All Levels,13,4.6,8640
92,python az python data scienc real exercis,program python data analyt data scienc learn statist analysi data mine visual kiril eremenko,73,All Levels,11,4.6,11442
93,docker absolut beginn hand devop,learn docker hand code exercis beginn devop mumshad mannambeth,48,Beginner,45,4.6,10141
94,microsoft azur cloud beginn bootcamp updat sep,comprehens microsoft azur cours lot lab demo deploy manag azur servic varma rudra,196,Beginner,31,4.3,2500
95,jenkin zero hero becom devop jenkin master,becom devop master learn jenkin integr power tool like docker ansibl aw git ricardo andr gonzalez gomez,174,All Levels,105,4.3,2461
96,complet guid elasticsearch,learn elasticsearch scratch begin learn elk stack elasticsearch logstash kibana elast stack bo andersen,142,All Levels,115,4.5,7364
97,spring framework beginn guru,spring framework learn spring framework spring boot spring mvc spring data jpa spring data mongodb hibern john thompson,524,All Levels,57,4.5,9485
98,complet aspnet mvc cours,learn build fast secur web applic aspnet mvc popular cours student mosh hamedani,139,All Levels,75,4.4,21994
99,go complet develop guid golang,master fundament advanc featur go program languag golang stephen grider,82,All Levels,9,4.6,10800
100,python bibl everyth need program python,build project go beginn pro python world fun projectbas python cours ziyad yehia,74,Beginner,9,4.6,22504
