_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
5e4117a170dfe123d09ba88e,Complete C# Unity Developer: Create Games and Learn to Code,"4.4
(597 ratings)","Game development & design taught by using Unity. Learn C# and build your first games for web, mobile and desktop. | By Denis Panjuta",154 lectures,All Levels,22.5 hours
5e4117a170dfe123d09ba88f,Become a Certified Web Developer,"4.4
(1,927 ratings)","Complete coverage of HTML, CSS, Javascript and PHP while you Earn Four Respected Certificatons | By Framework Television Inc.",491 lectures,All Levels,42.5 hours
5e4117a170dfe123d09ba890,"Power BI Masterclass 8 - Python, Finance, and advanced DAX","4.5
(80 ratings)",How to become a data analyst and learn Power BI. Power BI online training for data analysts | By Dan We,20 lectures,Beginner,2.5 hours
5e4117a170dfe123d09ba891,100 Python Challenges to Boost Your Python Skills,"4.5
(136 ratings)",Solve 100 carefully crafted Python exercises directly on the interactive U-platform to solidify your Python skills. | By Ardit Sulce,21 lectures,All Levels,1.5 hours
5e4117a170dfe123d09ba892,Angular automation with Protractor + Typescript + Cucumber,"4.2
(382 ratings)",Understand Protractor and Cucumber with Typescript language from complete ground up | By Karthik KK,47 lectures,All Levels,7 hours
5e4117a170dfe123d09ba893,Building Perceptive AI in Unreal Engine,"3.9
(19 ratings)","AI Perception, Behaviour Trees, and EQS | By Daniel Orchard",25 lectures,Beginner,5.5 hours
5e4117a170dfe123d09ba894,Pathfinding in Unity,"4.7
(222 ratings)",implementing A* search and graph search algorithms in Unity | By Wilmer Lin,35 lectures,Intermediate,4.5 hours
5e4117a170dfe123d09ba895,Python Scripting in Blender with Practical Projects,"4.6
(15 ratings)",A Practical Python Course Creating Scripts inside Blender for Absolute Beginners | By Thomas McDonald,27 lectures,Beginner,2 hours
5e4117a170dfe123d09ba896,"Cryptocurrency Fundamentals: Buy, Sell, Trade Cryptocurrency","4.5
(850 ratings)","Quickly learn how to use, buy, sell and trade Cryptocurrency in this top rated video course and accompanying PDF Guide. | By George Levy",18 lectures,Beginner,1.5 hours
5e4117ae70dfe123d09ba897,Master React Native Animations,"4.4
(410 ratings)","Simple, easy to follow, step-by-step lessons for every type of animation | By Jason Brown",126 lectures,All Levels,8.5 hours
5e4117ae70dfe123d09ba898,Building Cloud Infrastructure with Terraform,"4.3
(275 ratings)",Create and manage cloud infrastructure as code | By Chris Parent,42 lectures,Intermediate,4.5 hours
5e4117ae70dfe123d09ba899,Deploy Fargate ECS Apps & Infrastructure: AWS with Terraform,"4.3
(73 ratings)","Learn to work with AWS ECS Fargate, implement complete infrastructure deployment using Terraform with an AWS Architect! | By Niyazi Erdogan",67 lectures,All Levels,5 hours
5e4117ae70dfe123d09ba89a,Apache NiFi Complete Master Course - HDP - Automation ETL,"4.1
(183 ratings)","Next Gen Data Flow. Process - distribute data using powerful, reliable framework. Apache Nifi, Nifi Registry, Minifi | By MUTHUKUMAR Subramanian",57 lectures,All Levels,5 hours
5e4117ae70dfe123d09ba89b,QC151 Quantum Physics for Quantum Computing,"4.6
(42 ratings)",Non-mathematical coverage of Superposition and Entanglement. Intuitive & qualitative preparation for advanced topics | By Kumaresan Ramanathan,37 lectures,Beginner,1.5 hours
5e4117ae70dfe123d09ba89c,Programmatic Uber Clone App |Swift /Firebase| No Storyboards,"4.7
(26 ratings)","Build a fully programmatic Uber Clone with iOS 13 and the latest versions of Swift & Firebase, without storyboards! | By Stephan Dowless",91 lectures,Intermediate,18.5 hours
5e4117ae70dfe123d09ba89d,Redux Saga (with React and Redux): Fast-track intro course,"4.3
(339 ratings)",QUICKEST way to understand and get up and running with Redux Sagas and start implementing in React and Redux projects. | By Tom Phillips,22 lectures,All Levels,1.5 hours
5e4117ae70dfe123d09ba89e,Unity Game Development: Make Professional 3D Games,"4.5
(893 ratings)",Learn To Code In C# And How To Create Stunning 3D Games In Unity Game Engine | By Awesome Tuts,152 lectures,All Levels,41 hours
